pokedex_number,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,Total Stats,is_legendary
46,Paras,bug,grass,35,70,55,45,55,25,285,0
47,Parasect,bug,grass,60,95,80,60,80,30,405,0
48,Venonat,bug,poison,60,55,50,40,55,45,305,0
49,Venomoth,bug,poison,70,65,60,90,75,90,450,0
50,Diglett,ground,ground,10,55,30,35,45,90,265,0
51,Dugtrio,ground,ground,35,100,60,50,70,110,425,0
52,Meowth,normal,dark,40,35,35,50,40,90,290,0
53,Persian,normal,dark,65,60,60,75,65,115,440,0
54,Psyduck,water,None,50,52,48,65,50,55,320,0
55,Golduck,water,None,80,82,78,95,80,85,500,0
56,Mankey,fighting,None,40,80,35,35,45,70,305,0
57,Primeape,fighting,None,65,105,60,60,70,95,455,0
58,Growlithe,fire,None,55,70,45,70,50,60,350,0
59,Arcanine,fire,None,90,110,80,100,80,95,555,0
60,Poliwag,water,None,40,50,40,40,40,90,300,0
61,Poliwhirl,water,None,65,65,65,50,50,90,385,0
62,Poliwrath,water,fighting,90,95,95,70,90,70,510,0
63,Abra,psychic,None,25,20,15,105,55,90,310,0
64,Kadabra,psychic,None,40,35,30,120,70,105,400,0
65,Alakazam,psychic,None,55,50,65,175,105,150,600,0
66,Machop,fighting,None,70,80,50,35,35,35,305,0
67,Machoke,fighting,None,80,100,70,50,60,45,405,0
68,Machamp,fighting,None,90,130,80,65,85,55,505,0
69,Bellsprout,grass,poison,50,75,35,70,30,40,300,0
70,Weepinbell,grass,poison,65,90,50,85,45,55,390,0
71,Victreebel,grass,poison,80,105,65,100,70,70,490,0
72,Tentacool,water,poison,40,40,35,50,100,70,335,0
73,Tentacruel,water,poison,80,70,65,80,120,100,515,0
74,Geodude,rock,ground,40,80,100,30,30,20,300,0
75,Graveler,rock,ground,55,95,115,45,45,35,390,0
76,Golem,rock,ground,80,120,130,55,65,45,495,0
77,Ponyta,fire,None,50,85,55,65,65,90,410,0
78,Rapidash,fire,None,65,100,70,80,80,105,500,0
79,Slowpoke,water,psychic,90,65,65,40,40,15,315,0
80,Slowbro,water,psychic,95,75,180,130,80,30,590,0
81,Magnemite,electric,steel,25,35,70,95,55,45,325,0
82,Magneton,electric,steel,50,60,95,120,70,70,465,0
83,Farfetch'd,normal,flying,52,90,55,58,62,60,377,0
84,Doduo,normal,flying,35,85,45,35,35,75,310,0
85,Dodrio,normal,flying,60,110,70,60,60,110,470,0
86,Seel,water,None,65,45,55,45,70,45,325,0
87,Dewgong,water,ice,90,70,80,70,95,70,475,0
88,Grimer,poison,poison,80,80,50,40,50,25,325,0
89,Muk,poison,poison,105,105,75,65,100,50,500,0
90,Shellder,water,None,30,65,100,45,25,40,305,0
91,Cloyster,water,ice,50,95,180,85,45,70,525,0
92,Gastly,ghost,poison,30,35,30,100,35,80,310,0
93,Haunter,ghost,poison,45,50,45,115,55,95,405,0
94,Gengar,ghost,poison,60,65,80,170,95,130,600,0
95,Onix,rock,ground,35,45,160,30,45,70,385,0
96,Drowzee,psychic,None,60,48,45,43,90,42,328,0
97,Hypno,psychic,None,85,73,70,73,115,67,483,0
98,Krabby,water,None,30,105,90,25,25,50,325,0
99,Kingler,water,None,55,130,115,50,50,75,475,0
100,Voltorb,electric,None,40,30,50,55,55,100,330,0
101,Electrode,electric,None,60,50,70,80,80,150,490,0
102,Exeggcute,grass,psychic,60,40,80,60,45,40,325,0
103,Exeggutor,grass,psychic,95,105,85,125,75,45,530,0
104,Cubone,ground,None,50,50,95,40,50,35,320,0
105,Marowak,ground,fire,60,80,110,50,80,45,425,0
106,Hitmonlee,fighting,None,50,120,53,35,110,87,455,0
107,Hitmonchan,fighting,None,50,105,79,35,110,76,455,0
108,Lickitung,normal,None,90,55,75,60,75,30,385,0
109,Koffing,poison,None,40,65,95,60,45,35,340,0
110,Weezing,poison,None,65,90,120,85,70,60,490,0
111,Rhyhorn,ground,rock,80,85,95,30,30,25,345,0
113,Chansey,normal,None,250,5,5,35,105,50,450,0
114,Tangela,grass,None,65,55,115,100,40,60,435,0
115,Kangaskhan,normal,None,105,125,100,60,100,100,590,0
116,Horsea,water,None,30,40,70,70,25,60,295,0
117,Seadra,water,None,55,65,95,95,45,85,440,0
118,Goldeen,water,None,45,67,60,35,50,63,320,0
119,Seaking,water,None,80,92,65,65,80,68,450,0
120,Staryu,water,None,30,45,55,70,55,85,340,0
121,Starmie,water,psychic,60,75,85,100,85,115,520,0
122,Mr. Mime,psychic,fairy,40,45,65,100,120,90,460,0
123,Scyther,bug,flying,70,110,80,55,80,105,500,0
124,Jynx,ice,psychic,65,50,35,115,95,95,455,0
125,Electabuzz,electric,None,65,83,57,95,85,105,490,0
126,Magmar,fire,None,65,95,57,100,85,93,495,0
127,Pinsir,bug,None,65,155,120,65,90,105,600,0
128,Tauros,normal,None,75,100,95,40,70,110,490,0
129,Magikarp,water,None,20,10,55,15,20,80,200,0
130,Gyarados,water,flying,95,155,109,70,130,81,640,0
131,Lapras,water,ice,130,85,80,85,95,60,535,0
132,Ditto,normal,None,48,48,48,48,48,48,288,0
133,Eevee,normal,None,55,55,50,45,65,55,325,0
134,Vaporeon,water,None,130,65,60,110,95,65,525,0
135,Jolteon,electric,None,65,65,60,110,95,130,525,0
136,Flareon,fire,None,65,130,60,95,110,65,525,0
137,Porygon,normal,None,65,60,70,85,75,40,395,0
138,Omanyte,rock,water,35,40,100,90,55,35,355,0
139,Omastar,rock,water,70,60,125,115,70,55,495,0
140,Kabuto,rock,water,30,80,90,55,45,55,355,0
141,Kabutops,rock,water,60,115,105,65,70,80,495,0
142,Aerodactyl,rock,flying,80,135,85,70,95,150,615,0
143,Snorlax,normal,None,160,110,65,65,110,30,540,0
144,Articuno,ice,flying,90,85,100,95,125,85,580,1
145,Zapdos,electric,flying,90,90,85,125,90,100,580,1
146,Moltres,fire,flying,90,100,90,125,85,90,580,1
147,Dratini,dragon,None,41,64,45,50,50,50,300,0
148,Dragonair,dragon,None,61,84,65,70,70,70,420,0
149,Dragonite,dragon,flying,91,134,95,100,100,80,600,0
150,Mewtwo,psychic,None,106,150,70,194,120,140,780,1
151,Mew,psychic,None,100,100,100,100,100,100,600,1
152,Chikorita,grass,None,45,49,65,49,65,45,318,0
153,Bayleef,grass,None,60,62,80,63,80,60,405,0
154,Meganium,grass,None,80,82,100,83,100,80,525,0
155,Cyndaquil,fire,None,39,52,43,60,50,65,309,0
156,Quilava,fire,None,58,64,58,80,65,80,405,0
157,Typhlosion,fire,None,78,84,78,109,85,100,534,0
158,Totodile,water,None,50,65,64,44,48,43,314,0
159,Croconaw,water,None,65,80,80,59,63,58,405,0
160,Feraligatr,water,None,85,105,100,79,83,78,530,0
161,Sentret,normal,None,35,46,34,35,45,20,215,0
162,Furret,normal,None,85,76,64,45,55,90,415,0
163,Hoothoot,normal,flying,60,30,30,36,56,50,262,0
164,Noctowl,normal,flying,100,50,50,86,96,70,452,0
165,Ledyba,bug,flying,40,20,30,40,80,55,265,0
166,Ledian,bug,flying,55,35,50,55,110,85,390,0
167,Spinarak,bug,poison,40,60,40,40,40,30,250,0
168,Ariados,bug,poison,70,90,70,60,70,40,400,0
169,Crobat,poison,flying,85,90,80,70,80,130,535,0
170,Chinchou,water,electric,75,38,38,56,56,67,330,0
171,Lanturn,water,electric,125,58,58,76,76,67,460,0
172,Pichu,electric,None,20,40,15,35,35,60,205,0
173,Cleffa,fairy,None,50,25,28,45,55,15,218,0
174,Igglybuff,normal,fairy,90,30,15,40,20,15,210,0
175,Togepi,fairy,None,35,20,65,40,65,20,245,0
176,Togetic,fairy,flying,55,40,85,80,105,40,405,0
177,Natu,psychic,flying,40,50,45,70,45,70,320,0
178,Xatu,psychic,flying,65,75,70,95,70,95,470,0
179,Mareep,electric,None,55,40,40,65,45,35,280,0
180,Flaaffy,electric,None,70,55,55,80,60,45,365,0
181,Ampharos,electric,None,90,95,105,165,110,45,610,0
182,Bellossom,grass,None,75,80,95,90,100,50,490,0
183,Marill,water,fairy,70,20,50,20,50,40,250,0
184,Azumarill,water,fairy,100,50,80,60,80,50,420,0
185,Sudowoodo,rock,None,70,100,115,30,65,30,410,0
186,Politoed,water,None,90,75,75,90,100,70,500,0
187,Hoppip,grass,flying,35,35,40,35,55,50,250,0
188,Skiploom,grass,flying,55,45,50,45,65,80,340,0
189,Jumpluff,grass,flying,75,55,70,55,95,110,460,0
190,Aipom,normal,None,55,70,55,40,55,85,360,0
191,Sunkern,grass,None,30,30,30,30,30,30,180,0
192,Sunflora,grass,None,75,75,55,105,85,30,425,0
193,Yanma,bug,flying,65,65,45,75,45,95,390,0
194,Wooper,water,ground,55,45,45,25,25,15,210,0
195,Quagsire,water,ground,95,85,85,65,65,35,430,0
196,Espeon,psychic,None,65,65,60,130,95,110,525,0
197,Umbreon,dark,None,95,65,110,60,130,65,525,0
198,Murkrow,dark,flying,60,85,42,85,42,91,405,0
199,Slowking,water,psychic,95,75,80,100,110,30,490,0
200,Misdreavus,ghost,None,60,60,60,85,85,85,435,0
201,Unown,psychic,None,48,72,48,72,48,48,336,0
202,Wobbuffet,psychic,None,190,33,58,33,58,33,405,0
203,Girafarig,normal,psychic,70,80,65,90,65,85,455,0
204,Pineco,bug,None,50,65,90,35,35,15,290,0
205,Forretress,bug,steel,75,90,140,60,60,40,465,0
206,Dunsparce,normal,None,100,70,70,65,65,45,415,0
207,Gligar,ground,flying,65,75,105,35,65,85,430,0
208,Steelix,steel,ground,75,125,230,55,95,30,610,0
209,Snubbull,fairy,None,60,80,50,40,40,30,300,0
210,Granbull,fairy,None,90,120,75,60,60,45,450,0
211,Qwilfish,water,poison,65,95,85,55,55,85,440,0
213,Shuckle,bug,rock,20,10,230,10,230,5,505,0
214,Heracross,bug,fighting,80,185,115,40,105,75,600,0
215,Sneasel,dark,ice,55,95,55,35,75,115,430,0
216,Teddiursa,normal,None,60,80,50,50,50,40,330,0
217,Ursaring,normal,None,90,130,75,75,75,55,500,0
218,Slugma,fire,None,40,40,40,70,40,20,250,0
219,Magcargo,fire,rock,60,50,120,90,80,30,430,0
220,Swinub,ice,ground,50,50,40,30,30,50,250,0
221,Piloswine,ice,ground,100,100,80,60,60,50,450,0
222,Corsola,water,rock,65,55,95,65,95,35,410,0
223,Remoraid,water,None,35,65,35,65,35,65,300,0
224,Octillery,water,None,75,105,75,105,75,45,480,0
225,Delibird,ice,flying,45,55,45,65,45,75,330,0
226,Mantine,water,flying,85,40,70,80,140,70,485,0
227,Skarmory,steel,flying,65,80,140,40,70,70,465,0
228,Houndour,dark,fire,45,60,30,80,50,65,330,0
229,Houndoom,dark,fire,75,90,90,140,90,115,600,0
230,Kingdra,water,dragon,75,95,95,95,95,85,540,0
231,Phanpy,ground,None,90,60,60,40,40,40,330,0
232,Donphan,ground,None,90,120,120,60,60,50,500,0
233,Porygon2,normal,None,85,80,90,105,95,60,515,0
234,Stantler,normal,None,73,95,62,85,65,85,465,0
235,Smeargle,normal,None,55,20,35,20,45,75,250,0
236,Tyrogue,fighting,None,35,35,35,35,35,35,210,0
237,Hitmontop,fighting,None,50,95,95,35,110,70,455,0
238,Smoochum,ice,psychic,45,30,15,85,65,65,305,0
239,Elekid,electric,None,45,63,37,65,55,95,360,0
240,Magby,fire,None,45,75,37,70,55,83,365,0
242,Blissey,normal,None,255,10,10,75,135,55,540,0
243,Raikou,electric,None,90,85,75,115,100,115,580,1
244,Entei,fire,None,115,115,85,90,75,100,580,1
245,Suicune,water,None,100,75,115,90,115,85,580,1
246,Larvitar,rock,ground,50,64,50,45,50,41,300,0
247,Pupitar,rock,ground,70,84,70,65,70,51,410,0
248,Tyranitar,rock,dark,100,164,150,95,120,71,700,0
249,Lugia,psychic,flying,106,90,130,90,154,110,680,1
250,Ho-Oh,fire,flying,106,130,90,110,154,90,680,1
251,Celebi,psychic,grass,100,100,100,100,100,100,600,1
252,Treecko,grass,None,40,45,35,65,55,70,310,0
253,Grovyle,grass,None,50,65,45,85,65,95,405,0
254,Sceptile,grass,None,70,110,75,145,85,145,630,0
255,Torchic,fire,None,45,60,40,70,50,45,310,0
256,Combusken,fire,fighting,60,85,60,85,60,55,405,0
257,Blaziken,fire,fighting,80,160,80,130,80,100,630,0
258,Mudkip,water,None,50,70,50,50,50,40,310,0
259,Marshtomp,water,ground,70,85,70,60,70,50,405,0
260,Swampert,water,ground,100,150,110,95,110,70,635,0
261,Poochyena,dark,None,35,55,35,30,30,35,220,0
262,Mightyena,dark,None,70,90,70,60,60,70,420,0
263,Zigzagoon,normal,None,38,30,41,30,41,60,240,0
264,Linoone,normal,None,78,70,61,50,61,100,420,0
265,Wurmple,bug,None,45,45,35,20,30,20,195,0
266,Silcoon,bug,None,50,35,55,25,25,15,205,0
267,Beautifly,bug,flying,60,70,50,100,50,65,395,0
268,Cascoon,bug,None,50,35,55,25,25,15,205,0
269,Dustox,bug,poison,60,50,70,50,90,65,385,0
270,Lotad,water,grass,40,30,30,40,50,30,220,0
271,Lombre,water,grass,60,50,50,60,70,50,340,0
272,Ludicolo,water,grass,80,70,70,90,100,70,480,0
273,Seedot,grass,None,40,40,50,30,30,30,220,0
274,Nuzleaf,grass,dark,70,70,40,60,40,60,340,0
275,Shiftry,grass,dark,90,100,60,90,60,80,480,0
276,Taillow,normal,flying,40,55,30,30,30,85,270,0
277,Swellow,normal,flying,60,85,60,75,50,125,455,0
278,Wingull,water,flying,40,30,30,55,30,85,270,0
279,Pelipper,water,flying,60,50,100,95,70,65,440,0
280,Ralts,psychic,fairy,28,25,25,45,35,40,198,0
281,Kirlia,psychic,fairy,38,35,35,65,55,50,278,0
282,Gardevoir,psychic,fairy,68,85,65,165,135,100,618,0
283,Surskit,bug,water,40,30,32,50,52,65,269,0
284,Masquerain,bug,flying,70,60,62,100,82,80,454,0
285,Shroomish,grass,None,60,40,60,40,60,35,295,0
286,Breloom,grass,fighting,60,130,80,60,60,70,460,0
288,Vigoroth,normal,None,80,80,80,55,55,90,440,0
289,Slaking,normal,None,150,160,100,95,65,100,670,0
290,Nincada,bug,ground,31,45,90,30,30,40,266,0
291,Ninjask,bug,flying,61,90,45,50,50,160,456,0
292,Shedinja,bug,ghost,1,90,45,30,30,40,236,0
293,Whismur,normal,None,64,51,23,51,23,28,240,0
294,Loudred,normal,None,84,71,43,71,43,48,360,0
295,Exploud,normal,None,104,91,63,91,73,68,490,0
296,Makuhita,fighting,None,72,60,30,20,30,25,237,0
297,Hariyama,fighting,None,144,120,60,40,60,50,474,0
298,Azurill,normal,fairy,50,20,40,20,40,20,190,0
299,Nosepass,rock,None,30,45,135,45,90,30,375,0
300,Skitty,normal,None,50,45,45,35,35,50,260,0
301,Delcatty,normal,None,70,65,65,55,55,90,400,0
302,Sableye,dark,ghost,50,85,125,85,115,20,480,0
303,Mawile,steel,fairy,50,105,125,55,95,50,480,0
304,Aron,steel,rock,50,70,100,40,40,30,330,0
305,Lairon,steel,rock,60,90,140,50,50,40,430,0
306,Aggron,steel,rock,70,140,230,60,80,50,630,0
307,Meditite,fighting,psychic,30,40,55,40,55,60,280,0
308,Medicham,fighting,psychic,60,100,85,80,85,100,510,0
309,Electrike,electric,None,40,45,40,65,40,65,295,0
310,Manectric,electric,None,70,75,80,135,80,135,575,0
311,Plusle,electric,None,60,50,40,85,75,95,405,0
312,Minun,electric,None,60,40,50,75,85,95,405,0
313,Volbeat,bug,None,65,73,75,47,85,85,430,0
314,Illumise,bug,None,65,47,75,73,85,85,430,0
315,Roselia,grass,poison,50,60,45,100,80,65,400,0
316,Gulpin,poison,None,70,43,53,43,53,40,302,0
317,Swalot,poison,None,100,73,83,73,83,55,467,0
318,Carvanha,water,dark,45,90,20,65,20,65,305,0
319,Sharpedo,water,dark,70,140,70,110,65,105,560,0
320,Wailmer,water,None,130,70,35,70,35,60,400,0
321,Wailord,water,None,170,90,45,90,45,60,500,0
322,Numel,fire,ground,60,60,40,65,45,35,305,0
323,Camerupt,fire,ground,70,120,100,145,105,20,560,0
324,Torkoal,fire,None,70,85,140,85,70,20,470,0
325,Spoink,psychic,None,60,25,35,70,80,60,330,0
326,Grumpig,psychic,None,80,45,65,90,110,80,470,0
327,Spinda,normal,None,60,60,60,60,60,60,360,0
328,Trapinch,ground,None,45,100,45,45,45,10,290,0
329,Vibrava,ground,dragon,50,70,50,50,50,70,340,0
330,Flygon,ground,dragon,80,100,80,80,80,100,520,0
331,Cacnea,grass,None,50,85,40,85,40,35,335,0
332,Cacturne,grass,dark,70,115,60,115,60,55,475,0
333,Swablu,normal,flying,45,40,60,40,75,50,310,0
334,Altaria,dragon,flying,75,110,110,110,105,80,590,0
335,Zangoose,normal,None,73,115,60,60,60,90,458,0
336,Seviper,poison,None,73,100,60,100,60,65,458,0
337,Lunatone,rock,psychic,90,55,65,95,85,70,460,0
338,Solrock,rock,psychic,90,95,85,55,65,70,460,0
339,Barboach,water,ground,50,48,43,46,41,60,288,0
340,Whiscash,water,ground,110,78,73,76,71,60,468,0
341,Corphish,water,None,43,80,65,50,35,35,308,0
342,Crawdaunt,water,dark,63,120,85,90,55,55,468,0
343,Baltoy,ground,psychic,40,40,55,40,70,55,300,0
344,Claydol,ground,psychic,60,70,105,70,120,75,500,0
345,Lileep,rock,grass,66,41,77,61,87,23,355,0
346,Cradily,rock,grass,86,81,97,81,107,43,495,0
347,Anorith,rock,bug,45,95,50,40,50,75,355,0
348,Armaldo,rock,bug,75,125,100,70,80,45,495,0
349,Feebas,water,None,20,15,20,10,55,80,200,0
350,Milotic,water,None,95,60,79,100,125,81,540,0
351,Castform,normal,None,70,70,70,70,70,70,420,0
352,Kecleon,normal,None,60,90,70,60,120,40,440,0
353,Shuppet,ghost,None,44,75,35,63,33,45,295,0
354,Banette,ghost,None,64,165,75,93,83,75,555,0
355,Duskull,ghost,None,20,40,90,30,90,25,295,0
356,Dusclops,ghost,None,40,70,130,60,130,25,455,0
357,Tropius,grass,flying,99,68,83,72,87,51,460,0
358,Chimecho,psychic,None,75,50,80,95,90,65,455,0
359,Absol,dark,None,65,150,60,115,60,115,565,0
360,Wynaut,psychic,None,95,23,48,23,48,23,260,0
361,Snorunt,ice,None,50,50,50,50,50,50,300,0
362,Glalie,ice,None,80,120,80,120,80,100,580,0
363,Spheal,ice,water,70,40,50,55,50,25,290,0
364,Sealeo,ice,water,90,60,70,75,70,45,410,0
365,Walrein,ice,water,110,80,90,95,90,65,530,0
366,Clamperl,water,None,35,64,85,74,55,32,345,0
367,Huntail,water,None,55,104,105,94,75,52,485,0
368,Gorebyss,water,None,55,84,105,114,75,52,485,0
369,Relicanth,water,rock,100,90,130,45,65,55,485,0
370,Luvdisc,water,None,43,30,55,40,65,97,330,0
371,Bagon,dragon,None,45,75,60,40,30,50,300,0
372,Shelgon,dragon,None,65,95,100,60,50,50,420,0
373,Salamence,dragon,flying,95,145,130,120,90,120,700,0
374,Beldum,steel,psychic,40,55,80,35,60,30,300,0
375,Metang,steel,psychic,60,75,100,55,80,50,420,0
376,Metagross,steel,psychic,80,145,150,105,110,110,700,0
377,Regirock,rock,None,80,100,200,50,100,50,580,1
378,Regice,ice,None,80,50,100,100,200,50,580,1
379,Registeel,steel,None,80,75,150,75,150,50,580,1
380,Latias,dragon,psychic,80,100,120,140,150,110,700,1
381,Latios,dragon,psychic,80,130,100,160,120,110,700,1
382,Kyogre,water,None,100,150,90,180,160,90,770,1
383,Groudon,ground,None,100,180,160,150,90,90,770,1
384,Rayquaza,dragon,flying,105,180,100,180,100,115,780,1
385,Jirachi,steel,psychic,100,100,100,100,100,100,600,1
386,Deoxys,psychic,None,50,95,90,95,90,180,600,1
387,Turtwig,grass,None,55,68,64,45,55,31,318,0
388,Grotle,grass,None,75,89,85,55,65,36,405,0
389,Torterra,grass,ground,95,109,105,75,85,56,525,0
390,Chimchar,fire,None,44,58,44,58,44,61,309,0
391,Monferno,fire,fighting,64,78,52,78,52,81,405,0
392,Infernape,fire,fighting,76,104,71,104,71,108,534,0
393,Piplup,water,None,53,51,53,61,56,40,314,0
394,Prinplup,water,None,64,66,68,81,76,50,405,0
395,Empoleon,water,steel,84,86,88,111,101,60,530,0
396,Starly,normal,flying,40,55,30,30,30,60,245,0
397,Staravia,normal,flying,55,75,50,40,40,80,340,0
398,Staraptor,normal,flying,85,120,70,50,60,100,485,0
399,Bidoof,normal,None,59,45,40,35,40,31,250,0
400,Bibarel,normal,water,79,85,60,55,60,71,410,0
401,Kricketot,bug,None,37,25,41,25,41,25,194,0
402,Kricketune,bug,None,77,85,51,55,51,65,384,0
403,Shinx,electric,None,45,65,34,40,34,45,263,0
404,Luxio,electric,None,60,85,49,60,49,60,363,0
405,Luxray,electric,None,80,120,79,95,79,70,523,0
406,Budew,grass,poison,40,30,35,50,70,55,280,0
407,Roserade,grass,poison,60,70,65,125,105,90,515,0
408,Cranidos,rock,None,67,125,40,30,30,58,350,0
409,Rampardos,rock,None,97,165,60,65,50,58,495,0
410,Shieldon,rock,steel,30,42,118,42,88,30,350,0
411,Bastiodon,rock,steel,60,52,168,47,138,30,495,0
412,Burmy,bug,None,40,29,45,29,45,36,224,0
413,Wormadam,bug,grass,60,69,95,69,95,36,424,0
414,Mothim,bug,flying,70,94,50,94,50,66,424,0
415,Combee,bug,flying,30,30,42,30,42,70,244,0
416,Vespiquen,bug,flying,70,80,102,80,102,40,474,0
417,Pachirisu,electric,None,60,45,70,45,90,95,405,0
418,Buizel,water,None,55,65,35,60,30,85,330,0
419,Floatzel,water,None,85,105,55,85,50,115,495,0
420,Cherubi,grass,None,45,35,45,62,53,35,275,0
421,Cherrim,grass,None,70,60,70,87,78,85,450,0
422,Shellos,water,None,76,48,48,57,62,34,325,0
423,Gastrodon,water,ground,111,83,68,92,82,39,475,0
424,Ambipom,normal,None,75,100,66,60,66,115,482,0
425,Drifloon,ghost,flying,90,50,34,60,44,70,348,0
426,Drifblim,ghost,flying,150,80,44,90,54,80,498,0
427,Buneary,normal,None,55,66,44,44,56,85,350,0
428,Lopunny,normal,None,65,136,94,54,96,135,580,0
429,Mismagius,ghost,None,60,60,60,105,105,105,495,0
430,Honchkrow,dark,flying,100,125,52,105,52,71,505,0
431,Glameow,normal,None,49,55,42,42,37,85,310,0
432,Purugly,normal,None,71,82,64,64,59,112,452,0
433,Chingling,psychic,None,45,30,50,65,50,45,285,0
434,Stunky,poison,dark,63,63,47,41,41,74,329,0
435,Skuntank,poison,dark,103,93,67,71,61,84,479,0
436,Bronzor,steel,psychic,57,24,86,24,86,23,300,0
437,Bronzong,steel,psychic,67,89,116,79,116,33,500,0
438,Bonsly,rock,None,50,80,95,10,45,10,290,0
439,Mime Jr.,psychic,fairy,20,25,45,70,90,60,310,0
440,Happiny,normal,None,100,5,5,15,65,30,220,0
441,Chatot,normal,flying,76,65,45,92,42,91,411,0
442,Spiritomb,ghost,dark,50,92,108,92,108,35,485,0
443,Gible,dragon,ground,58,70,45,40,45,42,300,0
444,Gabite,dragon,ground,68,90,65,50,55,82,410,0
445,Garchomp,dragon,ground,108,170,115,120,95,92,700,0
446,Munchlax,normal,None,135,85,40,40,85,5,390,0
447,Riolu,fighting,None,40,70,40,35,40,60,285,0
448,Lucario,fighting,steel,70,145,88,140,70,112,625,0
449,Hippopotas,ground,None,68,72,78,38,42,32,330,0
450,Hippowdon,ground,None,108,112,118,68,72,47,525,0
451,Skorupi,poison,bug,40,50,90,30,55,65,330,0
452,Drapion,poison,dark,70,90,110,60,75,95,500,0
453,Croagunk,poison,fighting,48,61,40,61,40,50,300,0
454,Toxicroak,poison,fighting,83,106,65,86,65,85,490,0
455,Carnivine,grass,None,74,100,72,90,72,46,454,0
456,Finneon,water,None,49,49,56,49,61,66,330,0
457,Lumineon,water,None,69,69,76,69,86,91,460,0
458,Mantyke,water,flying,45,20,50,60,120,50,345,0
459,Snover,grass,ice,60,62,50,62,60,40,334,0
460,Abomasnow,grass,ice,90,132,105,132,105,30,594,0
461,Weavile,dark,ice,70,120,65,45,85,125,510,0
462,Magnezone,electric,steel,70,70,115,130,90,60,535,0
463,Lickilicky,normal,None,110,85,95,80,95,50,515,0
464,Rhyperior,ground,rock,115,140,130,55,55,40,535,0
465,Tangrowth,grass,None,100,100,125,110,50,50,535,0
466,Electivire,electric,None,75,123,67,95,85,95,540,0
467,Magmortar,fire,None,75,95,67,125,95,83,540,0
468,Togekiss,fairy,flying,85,50,95,120,115,80,545,0
469,Yanmega,bug,flying,86,76,86,116,56,95,515,0
470,Leafeon,grass,None,65,110,130,60,65,95,525,0
471,Glaceon,ice,None,65,60,110,130,95,65,525,0
472,Gliscor,ground,flying,75,95,125,45,75,95,510,0
473,Mamoswine,ice,ground,110,130,80,70,60,80,530,0
474,Porygon-Z,normal,None,85,80,70,135,75,90,535,0
475,Gallade,psychic,fighting,68,165,95,65,115,110,618,0
476,Probopass,rock,steel,60,55,145,75,150,40,525,0
477,Dusknoir,ghost,None,45,100,135,65,135,45,525,0
478,Froslass,ice,ghost,70,80,70,80,70,110,480,0
